Name,Team,Salary
D.J. Wilson,Milwaukee Bucks,"$2,961,120"
Cedi Osman,Cleveland Cavaliers,"$2,907,143"
Donte DiVincenzo,Milwaukee Bucks,"$2,905,800"
Bryn Forbes,San Antonio Spurs,"$2,875,000"
Goga Bitadze,Indiana Pacers,"$2,816,760"
T.J. Leaf,Indiana Pacers,"$2,813,280"
Alex Caruso,Los Angeles Lakers,"$2,750,000"
Malik Beasley,Minnesota Timberwolves,"$2,731,714"
Luka Samanic,San Antonio Spurs,"$2,689,920"
Lonnie Walker IV,San Antonio Spurs,"$2,689,920"
John Collins,Atlanta Hawks,"$2,686,560"
Kevin Huerter,Atlanta Hawks,"$2,636,280"
Caris LeVert,Brooklyn Nets,"$2,625,718"
Marko Guduric,Memphis Grizzlies,"$2,625,000"
DeAndre' Bembry,Atlanta Hawks,"$2,603,982"
Matisse Thybulle,Philadelphia 76ers,"$2,582,160"
Harry Giles III,Sacramento Kings,"$2,578,800"
Rajon Rondo,Los Angeles Lakers,"$2,564,753"
Wesley Matthews,Milwaukee Bucks,"$2,564,753"
Nene Hilario,Atlanta Hawks,"$2,564,753"
Josh Okogie,Minnesota Timberwolves,"$2,530,680"
Manu Ginobili,San Antonio Spurs,"$2,500,000"
Rondae Hollis Jefferson,Toronto Raptors,"$2,500,000"
Brandon Clarke,Memphis Grizzlies,"$2,478,840"
Terrance Ferguson,Oklahoma City Thunder,"$2,475,840"
Emeka Okafor,Philadelphia 76ers,"$2,445,085"
Kendrick Perkins,Cleveland Cavaliers,"$2,445,085"
Grayson Allen,Memphis Grizzlies,"$2,429,400"
Grant Williams,Boston Celtics,"$2,379,840"
Jarrett Allen,Brooklyn Nets,"$2,376,840"
Pascal Siakam,Toronto Raptors,"$2,351,839"
Skal Labissiere,Portland Trail Blazers,"$2,338,847"
Chandler Hutchison,Chicago Bulls,"$2,332,320"
Aaron Holiday,Indiana Pacers,"$2,329,200"
Dejounte Murray,San Antonio Spurs,"$2,321,735"
Damian Jones,Atlanta Hawks,"$2,305,057"
Darius Bazley,Oklahoma City Thunder,"$2,284,800"
OG Anunoby,Toronto Raptors,"$2,281,800"
Ante Zizic,Cleveland Cavaliers,"$2,281,800"
Luke Kornet,Chicago Bulls,"$2,250,000"
Brandon Jennings,Milwaukee Bucks,"$2,222,803"
Ty Jerome,Phoenix Suns,"$2,193,480"
Willie Cauley-Stein,Dallas Mavericks,"$2,177,483"
Anfernee Simons,Portland Trail Blazers,"$2,149,560"
Austin Rivers,Houston Rockets,"$2,147,317"
Nassir Little,Portland Trail Blazers,"$2,105,520"
Moritz Wagner,Washington Wizards,"$2,063,520"
Sean Kilpatrick,Chicago Bulls,"$2,054,856"
Dylan Windler,Atlanta Hawks,"$2,035,800"
Caleb Swanigan,Portland Trail Blazers,"$2,033,160"
Mike Muscala,Oklahoma City Thunder,"$2,028,594"
Ben McLemore,Houston Rockets,"$2,028,594"
Edmond Sumner,Indiana Pacers,"$2,000,000"
Torrey Craig,Denver Nuggets,"$2,000,000"
Noah Vonleh,Denver Nuggets,"$2,000,000"
Landry Shamet,LA Clippers,"$1,995,120"
Mfiondu Kabengele,LA Clippers,"$1,977,000"
Kyle Kuzma,Los Angeles Lakers,"$1,974,600"
Jordan Poole,Golden State Warriors,"$1,964,760"
Tony Bradley,Utah Jazz,"$1,962,360"
Keldon Johnson,San Antonio Spurs,"$1,950,600"
Derrick White,San Antonio Spurs,"$1,948,080"
Robert Williams III,Boston Celtics,"$1,937,520"
Jacob Evans,Minnesota Timberwolves,"$1,925,880"
Omari Rasulala Spellman,Golden State Warriors,"$1,897,800"
James Ennis III,Orlando Magic,"$1,882,867"
Shabazz Napier,Washington Wizards,"$1,845,301"
DeAndre Liggins,Miami Heat,"$1,795,015"
Markieff Morris,Los Angeles Lakers,"$1,750,000"
Cameron Payne,Phoenix Suns,"$1,737,145"
Pat Connaughton,Milwaukee Bucks,"$1,723,050"
Jahlil Okafor,New Orleans Pelicans,"$1,702,486"
Rodions Kurucs,Brooklyn Nets,"$1,699,236"
Jonah Bolden,Phoenix Suns,"$1,698,450"
Cheick Diallo,Phoenix Suns,"$1,678,854"
Dragan Bender,Golden State Warriors,"$1,678,854"
Willy Hernangomez,Charlotte Hornets,"$1,676,735"
Julyan Stone,Chicago Bulls,"$1,656,092"
MarShon Brooks,Chicago Bulls,"$1,656,092"
Josh Hart,New Orleans Pelicans,"$1,655,160"
Treveon Graham,Atlanta Hawks,"$1,645,357"
Christian Wood,Detroit Pistons,"$1,645,357"
Jordan McRae,Detroit Pistons,"$1,645,357"
Derrick Jones Jr.,Miami Heat,"$1,645,357"
Georges Niang,Utah Jazz,"$1,645,357"
Shaquille Harrison,Chicago Bulls,"$1,620,564"
Isaiah Taylor,Toronto Raptors,"$1,620,564"
Trey Burke,Dallas Mavericks,"$1,620,564"
Tyler Lydon,Sacramento Kings,"$1,620,564"
Emmanuel Mudiay,Utah Jazz,"$1,620,564"
Nerlens Noel,Oklahoma City Thunder,"$1,620,564"
Patrick Patterson,LA Clippers,"$1,620,564"
Isaiah Thomas,Washington Wizards,"$1,620,564"
Kyle O'Quinn,Philadelphia 76ers,"$1,620,564"
Michael Carter-Williams,Orlando Magic,"$1,620,564"
Alec Burks,Philadelphia 76ers,"$1,620,564"
Wilson Chandler,Brooklyn Nets,"$1,620,564"
Glenn Robinson III,Philadelphia 76ers,"$1,620,564"
Kyle Korver,Milwaukee Bucks,"$1,620,564"
Udonis Haslem,Miami Heat,"$1,620,564"
Jared Dudley,Los Angeles Lakers,"$1,620,564"
Dwight Howard,Los Angeles Lakers,"$1,620,564"
Furkan Korkmaz,Philadelphia 76ers,"$1,620,564"
JaKarr Sampson,Indiana Pacers,"$1,620,564"
Justin Patton,Oklahoma City Thunder,"$1,620,564"
Ryan Anderson,Houston Rockets,"$1,620,564"
Thabo Sefolosha,Houston Rockets,"$1,620,564"
Gerald Green,Houston Rockets,"$1,620,564"
Tyson Chandler,Houston Rockets,"$1,620,564"
J.J. Barea,Dallas Mavericks,"$1,620,564"
Jarell Martin,Cleveland Cavaliers,"$1,620,564"
Raul Neto,Philadelphia 76ers,"$1,620,564"
Tim Frazier,Detroit Pistons,"$1,620,564"
Jordan Bell,Memphis Grizzlies,"$1,620,564"
Joe Johnson,Boston Celtics,"$1,620,564"
Vince Carter,Atlanta Hawks,"$1,620,564"
Frank Jackson,New Orleans Pelicans,"$1,618,520"
Abdel Nader,Oklahoma City Thunder,"$1,618,520"
Royce O'Neale,Utah Jazz,"$1,618,520"
Damyean Dotson,New York Knicks,"$1,618,520"
Sterling Brown,Milwaukee Bucks,"$1,618,520"
Semi Ojeleye,Boston Celtics,"$1,618,520"
Dillon Brooks,Memphis Grizzlies,"$1,618,520"
Wes Iwundu,Orlando Magic,"$1,618,420"
Dwight Buycks,Detroit Pistons,"$1,600,520"
Mitchell Robinson,New York Knicks,"$1,599,712"
Chris Boucher,Toronto Raptors,"$1,588,231"
Malcolm Miller,Toronto Raptors,"$1,588,231"
Monte Morris,Denver Nuggets,"$1,588,231"
Antonio Blakeney,Chicago Bulls,"$1,588,231"
Tyrone Wallace,Atlanta Hawks,"$1,588,231"
Malachi Richardson,Philadelphia 76ers,"$1,569,360"
Giorgios Papagiannis,Portland Trail Blazers,"$1,544,951"
Chinanu Onuaku,Portland Trail Blazers,"$1,544,951"
Wade Baldwin IV,Indiana Pacers,"$1,544,951"
Isaiah Whitehead,Detroit Pistons,"$1,544,951"
Paul Zipser,Chicago Bulls,"$1,544,951"
Amile Jefferson,Orlando Magic,"$1,529,007"
Omri Casspi,Memphis Grizzlies,"$1,512,601"
Isaiah Canaan,Milwaukee Bucks,"$1,512,601"
Dwyane Wade,Miami Heat,"$1,512,601"
Nigel Williams-Goss,Utah Jazz,"$1,500,000"
Isaiah Roby,Oklahoma City Thunder,"$1,500,000"
Alfonzo McKinnie,Cleveland Cavaliers,"$1,500,000"
Shake Milton,Philadelphia 76ers,"$1,455,697"
Wenyen Gabriel,Portland Trail Blazers,"$1,445,697"
Brad Wanamaker,Boston Celtics,"$1,445,697"
Thanasis Antetokounmpo,Milwaukee Bucks,"$1,445,697"
Derrick Walton Jr.,Detroit Pistons,"$1,445,697"
Theo Pinson,Brooklyn Nets,"$1,445,697"
Iman Shumpert,Brooklyn Nets,"$1,419,138"
Gary Trent Jr.,Portland Trail Blazers,"$1,416,852"
Bruce Brown,Detroit Pistons,"$1,416,852"
Hamidou Diallo,Oklahoma City Thunder,"$1,416,852"
Kendrick Nunn,Miami Heat,"$1,416,852"
Melvin Frazier Jr.,Orlando Magic,"$1,416,852"
Kenrich Williams,New Orleans Pelicans,"$1,416,852"
Alize Johnson,Indiana Pacers,"$1,416,852"
Devonte' Graham,Charlotte Hornets,"$1,416,852"
Deonte Burton,Oklahoma City Thunder,"$1,416,852"
De'Anthony Melton,Memphis Grizzlies,"$1,416,852"
Ryan Broekhoff,Dallas Mavericks,"$1,416,852"
Isaiah Hartenstein,Houston Rockets,"$1,416,852"
Jalen Brunson,Dallas Mavericks,"$1,416,852"
Elie Okobo,Phoenix Suns,"$1,416,852"
Keita Bates-Diop,Denver Nuggets,"$1,416,852"
Duncan Robinson,Miami Heat,"$1,416,852"
Jarred Vanderbilt,Minnesota Timberwolves,"$1,416,852"
Jemerrio Jones,Los Angeles Lakers,"$1,416,852"
Khyri Thomas,Detroit Pistons,"$1,416,852"
Chimezie Metu,San Antonio Spurs,"$1,416,852"
Jevon Carter,Phoenix Suns,"$1,416,852"
Dairis Bertans,New Orleans Pelicans,"$1,416,852"
Yante Maten,Boston Celtics,"$1,416,852"
Svi Mykhailiuk,Detroit Pistons,"$1,416,852"
Isaac Bonga,Washington Wizards,"$1,416,842"
Tarik Phillip,Washington Wizards,"$1,416,842"
Jaylen Nowell,Minnesota Timberwolves,"$1,400,000"
Bruno Fernando,Atlanta Hawks,"$1,400,000"
Dakari Johnson,Memphis Grizzlies,"$1,378,242"
Kyle Collinsworth,Utah Jazz,"$1,378,242"
Jaylen Morris,San Antonio Spurs,"$1,378,242"
Brandon Paul,San Antonio Spurs,"$1,378,242"
Rodney Purvis,Miami Heat,"$1,378,242"
