PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Name,Salary
2034,2004-05,00,1610612763,MEM,25.0,76,51,2280.0,387,766,0.505,140,323,0.433,108,150,0.72,36,264,300,220,54,23,127,197,1022,Mike Miller,"$4,482,000"
2200,2004-05,00,1610612763,MEM,24.0,56,53,1790.0,357,695,0.514,1,6,0.167,282,367,0.768,130,280,410,135,37,93,137,146,997,Pau Gasol,"$4,318,000"
1531,2004-05,00,1610612755,PHI,30.0,81,23,1976.0,340,731,0.465,0,2,0.0,289,349,0.828,184,222,406,81,32,18,131,171,969,Marc Jackson,"$4,225,000"
1088,2004-05,00,1610612747,LAL,30.0,82,82,2904.0,388,910,0.426,176,455,0.387,163,203,0.803,31,166,197,358,73,2,151,181,1115,Chucky Atkins,"$4,200,000"
2035,2004-05,00,1610612743,DEN,25.0,71,40,1232.0,185,371,0.499,53,148,0.358,80,101,0.792,43,108,151,75,43,18,65,140,503,DerMarr Johnson,"$4,119,000"
2036,2004-05,00,1610612747,LAL,25.0,75,75,1869.0,280,552,0.507,0,2,0.0,175,258,0.678,197,305,502,50,14,108,110,237,735,Chris Mihm,"$3,785,000"
2037,2004-05,00,1610612752,NYK,25.0,70,67,2688.0,437,1097,0.398,185,512,0.361,182,216,0.843,33,170,203,302,92,19,148,135,1241,Jamal Crawford,"$3,475,000"
2038,2004-05,00,1610612757,POR,25.0,76,50,1857.0,199,333,0.598,0,0,0.0,90,174,0.517,178,410,588,74,24,163,98,239,488,Joel Przybilla,"$3,215,000"
2203,2004-05,00,1610612763,MEM,26.0,80,72,2516.0,271,613,0.442,70,177,0.395,180,228,0.789,158,255,413,126,91,77,75,201,792,Shane Battier,"$3,212,000"
970,2004-05,00,1610612741,CHI,31.0,70,28,1273.0,217,424,0.512,0,0,0.0,127,177,0.718,106,186,292,56,24,18,84,188,561,Othella Harrington,"$3,150,000"
960,2004-05,00,1610612737,ATL,31.0,56,1,1341.0,246,591,0.416,72,202,0.356,103,136,0.757,28,102,130,104,47,3,54,123,667,Tony Delk,"$3,150,000"
